11954,202,10320,10201
12048,202,10321,10202
12142,202,10322,10200
12236,202,10318,10203
12329,202,10319,10202
12423,202,10316,10202
12517,202,10319,10206
12611,202,10321,10202
12704,202,10321,10203
12798,202,10322,10204
12892,202,10320,10204
12986,202,10320,10203
13079,202,10322,10203
13173,202,10320,10205
13267,202,10320,10201
13361,202,10317,10203
13454,202,10320,10206
13548,202,10319,10205
13642,202,10324,10205
13736,202,10318,10206
13829,202,10323,10201
13923,202,10319,10200
14017,202,10315,10206
14111,202,10322,10205
14204,202,10318,10200
14298,202,10319,10203
14392,202,10322,10202
14486,202,10318,10203
14579,202,10319,10204
14673,202,10320,10202
14767,202,10318,10207
14861,202,10317,10207
14954,202,10317,10208
15048,202,10318,10203
15142,202,10320,10205
15236,202,10319,10204
15329,202,10318,10204
15423,202,10318,10202
15517,202,10319,10207
15611,202,10324,10204
15704,202,10318,10203
15798,202,10322,10200
15892,202,10320,10205
15986,202,10319,10205
16079,202,10318,10205
16173,202,10317,10208
16267,202,10320,10205
16361,202,10318,10204
16454,202,10318,10206
16548,202,10318,10201
16642,202,10322,10199
16736,202,10318,10207
16829,202,10324,10201
16923,202,10318,10201
17017,202,10317,10209
17111,202,10320,10198
17204,202,10318,10204
17298,202,10322,10203
17392,202,10319,10203
17486,202,10319,10205
17579,202,10317,10202
17673,202,10322,10205
17767,202,10320,10205
17861,202,10320,10202
17954,202,10319,10205
18048,202,10320,10198
18142,202,10319,10204
18236,202,10320,10206
18329,202,10322,10202
18423,202,10319,10203
18517,202,10318,10207
18611,202,10323,10203
18704,202,10318,10202
18798,202,10319,10202
18892,202,10319,10200
18986,202,10316,10201
19079,202,10321,10201
19173,202,10323,10201
19267,202,10318,10204
19361,202,10320,10203
19454,202,10319,10208
19548,202,10323,10201
19642,202,10322,10204
19736,202,10319,10203
19829,202,10324,10205
19923,202,10316,10207
20017,202,10320,10199
20111,202,10317,10205
20204,202,10318,10203
20298,202,10320,10198
20392,202,10317,10201
20486,202,10317,10201
20579,202,10321,10202
20673,202,10319,10206
20767,202,10316,10199
20861,202,10322,10203
20954,202,10321,10203
21048,202,10317,10203
21142,202,10320,10207
21236,202,10321,10208
21329,202,10322,10205
21423,202,10320,10203
21517,202,10319,10205
21611,202,10323,10204
21704,202,10318,10205
21798,202,10318,10204
21892,202,10323,10204
21986,202,10320,10204
22079,202,10325,10202
22173,202,10322,10203
22267,202,10320,10204
22361,202,10324,10205
22454,202,10315,10209
22548,202,10323,10203
22642,202,10323,10200
22736,202,10322,10203
22829,202,10326,10201
22923,202,10327,10207
23017,202,10330,10202
23111,202,10328,10199
23204,202,10337,10205
23298,202,10336,10205
23392,202,10339,10209
23486,202,10333,10212
23579,202,10337,10206
23673,202,10344,10203
23767,202,10350,10202
