3324,202,10282,10186,10283,10185,0
3418,202,10281,10187,10282,10186,0
3512,202,10282,10186,10282,10186,0
3605,202,10282,10188,10282,10186,0
3699,202,10283,10185,10282,10186,0
3793,202,10283,10185,10282,10186,0
3887,202,10281,10186,10282,10185,0
3980,202,10283,10187,10282,10186,0
4074,202,10282,10187,10282,10186,0
4168,202,10283,10187,10282,10186,0
4262,202,10284,10186,10282,10186,0
4355,202,10285,10188,10283,10186,0
4449,202,10283,10189,10283,10187,0
4543,202,10280,10182,10282,10186,0
4637,202,10285,10185,10282,10185,0
4730,202,10280,10184,10282,10185,0
4824,202,10279,10185,10281,10185,0
4918,202,10284,10184,10281,10185,0
5012,202,10280,10185,10281,10184,0
5105,202,10282,10184,10281,10184,0
5199,202,10281,10189,10281,10185,0
5293,202,10279,10185,10281,10185,0
5387,202,10283,10187,10281,10185,0
5480,202,10281,10188,10281,10186,0
5574,202,10286,10184,10281,10186,0
5668,202,10285,10186,10282,10185,0
5762,202,10284,10186,10283,10185,0
5855,202,10286,10185,10283,10185,0
5949,202,10285,10185,10284,10185,0
6043,202,10281,10185,10283,10185,0
6137,202,10284,10184,10283,10185,0
6230,202,10281,10186,10283,10185,0
6324,202,10281,10189,10282,10185,0
6418,202,10287,10186,10283,10186,0
6512,202,10282,10186,10283,10186,0
6605,202,10284,10188,10283,10186,0
6699,202,10283,10184,10283,10186,0
6793,202,10282,10180,10283,10185,0
6887,202,10284,10186,10283,10184,0
6980,202,10279,10185,10282,10184,0
7074,202,10281,10184,10281,10184,0
7168,202,10282,10186,10281,10184,0
7262,202,10280,10187,10281,10185,0
7355,202,10280,10185,10281,10185,0
7449,202,10283,10186,10281,10185,0
7543,202,10280,10188,10281,10185,0
7637,202,10284,10186,10281,10186,0
7730,202,10281,10187,10281,10186,0
7824,202,10279,10184,10281,10186,0
7918,202,10284,10186,10281,10185,0
8012,202,10280,10187,10281,10185,0
8105,202,10279,10185,10280,10185,0
8199,202,10282,10188,10280,10186,0
8293,202,10280,10184,10280,10186,0
8387,202,10285,10183,10281,10185,0
8480,202,10281,10187,10281,10185,0
8574,202,10282,10186,10281,10185,0
8668,202,10284,10184,10282,10185,0
8762,202,10282,10189,10282,10185,0
8855,202,10280,10184,10281,10185,0
8949,202,10286,10188,10282,10185,0
9043,202,10285,10189,10283,10186,0
9137,202,10282,10187,10283,10186,0
9230,202,10281,10185,10282,10186,0
9324,202,10287,10185,10283,10186,0
9418,202,10286,10184,10283,10185,0
9512,202,10278,10188,10283,10185,0
9605,202,10286,10185,10283,10186,0
9699,202,10283,10188,10283,10186,0
9793,202,10281,10182,10283,10185,0
9887,202,10283,10190,10282,10185,0
9980,202,10278,10189,10282,10186,0
10074,202,10280,10187,10281,10187,0
10168,202,10283,10184,10281,10186,0
10262,202,10282,10188,10281,10186,0
10355,202,10286,10185,10282,10186,0
10449,202,10283,10183,10282,10185,0
10543,202,10279,10190,10282,10186,0
10637,202,10281,10187,10281,10186,0
10730,202,10283,10184,10281,10186,0
10824,202,10280,10187,10281,10186,0
10918,202,10283,10188,10281,10186,0
11012,202,10283,10189,10282,10187,0
11105,202,10282,10188,10282,10187,0
11199,202,10287,10189,10282,10187,0
11293,202,10286,10185,10283,10187,0
11387,202,10280,10183,10283,10186,0
11480,202,10283,10189,10283,10186,0
11574,202,10280,10184,10282,10186,0
11668,202,10283,10186,10282,10186,0
11762,202,10281,10185,10282,10185,0
11855,202,10283,10185,10282,10185,0
11949,202,10281,10185,10282,10185,0
12043,202,10282,10184,10281,10185,0
12137,202,10283,10185,10282,10185,0
12230,202,10285,10181,10282,10184,0
12324,202,10282,10188,10282,10184,0
12418,202,10282,10187,10282,10185,0
12512,202,10282,10188,10282,10185,0
12605,202,10280,10188,10282,10186,0
12699,202,10285,10187,10282,10186,0
12793,202,10286,10186,10283,10186,0
12887,202,10281,10187,10283,10186,0
12980,202,10283,10184,10282,10186,0
13074,202,10285,10188,10283,10186,0
13168,202,10286,10190,10283,10186,0
13262,202,10282,10189,10283,10187,0
13355,202,10282,10187,10283,10187,0
13449,202,10286,10184,10283,10187,0
13543,202,10279,10189,10283,10186,0
13637,202,10281,10189,10282,10187,0
13730,202,10283,10194,10282,10188,0
13824,202,10282,10189,10282,10189,0
13918,202,10280,10188,10281,10189,0
14012,202,10279,10184,10281,10188,0
14105,202,10287,10183,10281,10187,0
14199,202,10281,10187,10282,10186,0
14293,202,10280,10186,10281,10186,0
14387,202,10279,10184,10281,10186,0
