128691,10296,13019,10298,10216,10107,11843,11890,255,0,0,0
129191,10295,13021,10296,10215,10107,11842,11890,255,0,0,0
129691,10295,13020,10296,10216,10107,11841,11889,255,0,0,0
130191,10295,13022,10298,10216,10106,11842,11889,255,0,0,0
130691,10296,13021,10297,10215,10107,11842,11890,255,0,0,0
119,10294,13020,10296,10214,10106,11842,11888,255,0,0,0
619,10294,13020,10297,10215,10107,11842,11888,255,0,0,0
1119,10295,13019,10296,10213,10108,11842,11889,255,0,0,0
1619,10293,13021,10296,10215,10108,11841,11889,255,0,0,0
2119,10294,13017,10296,10216,10105,11842,11890,255,0,0,0
2619,10295,13017,10295,10214,10106,11842,11890,255,0,0,0
3119,10293,13018,10296,10214,10107,11842,11890,255,0,0,0
3619,10293,13017,10295,10216,10105,11842,11890,255,0,0,0
4119,10295,13017,10295,10215,10106,11842,11888,255,0,0,0
4619,10294,13016,10296,10215,10106,11841,11891,255,0,0,0
5119,10296,13020,10296,10215,10108,11840,11888,255,0,0,0
5619,10297,13014,10295,10215,10105,11841,11886,255,0,0,0
6119,10312,13026,10294,10215,10106,11843,11886,255,0,0,0
6619,10356,13032,10295,10214,10105,11843,11887,255,0,0,0
7119,10392,13042,10294,10212,10105,11843,11887,255,0,0,0
7619,10414,13050,10304,10213,10107,11842,11888,255,0,0,0
8119,10448,13044,10314,10215,10106,11842,11889,255,0,0,0
8619,10478,13052,10322,10216,10107,11842,11888,255,0,0,0
9119,10501,13078,10326,10215,10106,11842,11888,255,0,0,0
9619,10496,13096,10332,10215,10107,11842,11888,255,0,0,0
10119,10516,13112,10341,10216,10107,11842,11888,255,0,0,0
10619,10514,13130,10351,10214,10106,11842,11887,255,0,0,0
11119,10517,13151,10358,10214,10105,11842,11888,255,0,0,0
11619,10534,13178,10365,10214,10106,11842,11888,255,0,0,0
12119,10549,13204,10373,10215,10106,11841,11889,255,0,0,0
12619,10551,13225,10379,10216,10106,11843,11888,255,0,0,0
13119,10553,13245,10386,10213,10106,11843,11888,255,0,0,0
13619,10559,13265,10391,10214,10107,11843,11889,255,0,0,0
14119,10582,13289,10396,10214,10106,11842,11889,255,0,0,0
14619,10591,13307,10402,10214,10106,11843,11889,255,0,0,0
15119,10581,13317,10412,10216,10106,11842,11888,255,0,0,0
15619,10580,13330,10417,10215,10106,11843,11887,255,0,0,0
16119,10578,13353,10423,10213,10105,11843,11888,255,0,0,0
16619,10592,13375,10427,10213,10106,11841,11888,255,0,0,0
17119,10591,13411,10434,10215,10107,11843,11887,255,0,0,0
17619,10606,13423,10440,10215,10107,11841,11885,255,0,0,0
18119,10609,13460,10456,10214,10106,11840,11886,255,0,0,0
18619,10601,13480,10460,10214,10106,11842,11887,255,0,0,0
19119,10611,13534,10468,10213,10106,11843,11890,255,0,0,0
19619,10609,13577,10478,10215,10107,11842,11889,255,0,0,0
20119,10613,13586,10490,10215,10105,11843,11889,255,0,0,0
20619,10613,13616,10499,10216,10106,11841,11889,255,0,0,0
21119,10624,13664,10505,10215,10108,11842,11888,255,0,0,0
21619,10637,13692,10514,10217,10107,11842,11888,255,0,0,0
22119,10641,13729,10524,10216,10108,11844,11889,255,0,0,0
22619,10637,13764,10533,10216,10107,11842,11888,255,0,0,0
23119,10650,13792,10541,10216,10107,11843,11888,255,0,0,0
23619,10651,13825,10551,10217,10107,11840,11888,255,0,0,0
24119,10654,13863,10560,10217,10106,11843,11889,255,0,0,0
24619,10653,13882,10566,10216,10107,11842,11889,255,0,0,0
25119,10660,13909,10574,10217,10107,11844,11889,255,0,0,0
25619,10666,13952,10584,10218,10107,11843,11891,255,0,0,0
26119,10682,13975,10597,10217,10108,11842,11889,255,0,0,0
26619,10681,14007,10602,10217,10109,11840,11889,255,0,0,0
27119,10683,14045,10610,10219,10107,11842,11889,255,0,0,0
27619,10693,14077,10620,10218,10107,11843,11890,255,0,0,0
28119,10710,14091,10632,10217,10109,11844,11889,255,0,0,0
28619,10724,14134,10636,10216,10110,11843,11889,255,0,0,0
29119,10721,14159,10644,10217,10110,11842,11890,255,0,0,0
29619,10735,14187,10655,10216,10109,11843,11891,255,0,0,0
30119,10735,14216,10663,10219,10109,11843,11890,255,0,0,0
30619,10737,14248,10672,10218,10110,11844,11890,255,0,0,0
31119,10752,14273,10680,10217,10111,11845,11890,255,0,0,0
31619,10735,14299,10689,10218,10109,11843,11889,255,0,0,0
32119,10754,14335,10697,10218,10109,11843,11889,255,0,0,0
32619,10766,14367,10708,10216,10110,11843,11890,255,0,0,0
33119,10780,14396,10716,10220,10109,11844,11890,255,0,0,0
33619,10789,14422,10726,10219,10108,11843,11890,255,0,0,0
34119,10782,14450,10734,10220,10109,11844,11889,255,0,0,0
34619,10790,14486,10742,10219,10110,11844,11888,255,0,0,0
35119,10795,14512,10751,10218,10110,11843,11889,255,0,0,0
35619,10804,14548,10762,10218,10110,11844,11890,255,0,0,0
36119,10805,14577,10768,10219,10111,11844,11891,255,0,0,0
36619,10809,14607,10776,10220,10111,11844,11890,255,0,0,0
37119,10824,14634,10786,10219,10111,11844,11891,255,0,0,0
37619,10830,14667,10794,10219,10112,11844,11891,255,0,0,0
38119,10839,14684,10803,10221,10111,11844,11890,255,0,0,0
38619,10840,14717,10813,10219,10110,11844,11890,255,0,0,0
39119,10849,14747,10820,10219,10111,11844,11891,255,0,0,0
39619,10859,14768,10829,10221,10112,11845,11889,255,0,0,0
