117426,10317,13043,10304,10200,10106,11942,11983,0,0,0,255
117926,10317,13047,10301,10205,10106,11942,11981,0,0,0,255
118426,10315,13043,10301,10204,10108,11942,11984,0,0,0,255
118926,10319,13044,10299,10203,10105,11944,11982,0,0,0,255
119426,10314,13038,10302,10206,10108,11944,11984,0,0,0,255
119926,10315,13042,10302,10204,10107,11941,11983,0,0,0,255
120426,10316,13039,10299,10202,10103,11942,11983,0,0,0,255
120926,10314,13037,10302,10205,10103,11942,11982,0,0,0,255
121426,10314,13036,10302,10203,10106,11942,11984,0,0,0,255
121926,10315,13038,10302,10203,10103,11942,11984,0,0,0,255
122426,10316,13041,10301,10204,10105,11943,11983,0,0,0,255
122926,10314,13050,10302,10199,10107,11940,11968,0,0,0,255
123426,10316,13046,10299,10204,10099,11938,11979,0,0,0,255
123926,10313,13041,10303,10205,10105,11937,11981,0,0,0,255
124426,10372,13030,10299,10207,10108,11939,11978,0,0,0,255
124926,10440,13025,10300,10206,10104,11940,11978,0,0,0,255
125426,10424,13037,10299,10203,10105,11940,11979,0,0,0,255
125926,10483,13034,10301,10203,10105,11942,11984,0,0,0,255
126426,10550,13034,10301,10204,10106,11942,11981,0,0,0,255
126926,10602,13026,10304,10204,10103,11941,11981,0,0,0,255
127426,10653,13041,10301,10204,10103,11939,11980,0,0,0,255
127926,10714,13048,10301,10198,10105,11941,11980,0,0,0,255
128426,10794,13060,10302,10204,10103,11940,11983,0,0,0,255
128926,10855,13036,10302,10203,10101,11941,11984,0,0,0,255
129426,10910,13045,10302,10202,10106,11939,11978,0,0,0,255
129926,10922,13031,10301,10205,10104,11939,11982,0,0,0,255
130426,11038,13043,10302,10203,10106,11938,11980,0,0,0,255
130926,11124,13046,10303,10203,10108,11937,11980,0,0,0,255
354,11154,13033,10305,10206,10105,11941,11979,0,0,0,255
854,11189,13032,10305,10202,10106,11942,11981,0,0,0,255
1354,11236,13047,10303,10201,10107,11940,11982,0,0,0,255
1854,11287,13043,10302,10205,10105,11939,11981,0,0,0,255
2354,11365,13044,10307,10200,10102,11936,11980,0,0,0,255
2854,11420,13039,10305,10206,10103,11938,11980,0,0,0,255
3354,11463,13045,10299,10202,10104,11938,11982,0,0,0,255
3854,11507,13049,10303,10202,10102,11941,11979,0,0,0,255
4354,11560,13051,10303,10209,10109,11940,11984,0,0,0,255
4854,11614,13060,10304,10202,10105,11937,11982,0,0,0,255
5354,11660,13048,10304,10201,10105,11938,11981,0,0,0,255
5854,11716,13048,10304,10204,10107,11938,11982,0,0,0,255
6354,11769,13056,10301,10202,10105,11940,11980,0,0,0,255
6854,11823,13050,10303,10201,10108,11938,11979,0,0,0,255
7354,11870,13056,10307,10200,10105,11940,11981,0,0,0,255
7854,11917,13054,10304,10202,10105,11938,11978,0,0,0,255
8354,11965,13047,10305,10203,10103,11937,11980,0,0,0,255
8854,12021,13052,10309,10203,10104,11939,11980,0,0,0,255
9354,12064,13055,10304,10201,10105,11937,11980,0,0,0,255
9854,12116,13061,10304,10204,10106,11939,11981,0,0,0,255
10354,12163,13066,10309,10204,10104,11938,11979,0,0,0,255
10854,12205,13061,10304,10202,10105,11939,11979,0,0,0,255
11354,12243,13064,10309,10202,10106,11938,11981,0,0,0,255
11854,12275,13053,10313,10205,10103,11936,11979,0,0,0,255
12354,12318,13054,10315,10205,10107,11936,11980,0,0,0,255
12854,12356,13067,10316,10202,10105,11939,11980,0,0,0,255
13354,12397,13100,10319,10202,10104,11938,11980,0,0,0,255
13854,12437,13099,10317,10202,10107,11937,11979,0,0,0,255
14354,12472,13089,10323,10204,10105,11937,11980,0,0,0,255
14854,12507,13103,10325,10202,10107,11936,11978,0,0,0,255
15354,12546,13109,10330,10203,10105,11937,11979,0,0,0,255
15854,12590,13127,10329,10205,10108,11939,11978,0,0,0,255
16354,12623,13128,10329,10204,10109,11938,11979,0,0,0,255
16854,12659,13124,10334,10204,10106,11937,11980,0,0,0,255
17354,12691,13143,10337,10203,10111,11936,11978,0,0,0,255
17854,12729,13151,10340,10205,10108,11937,11982,0,0,0,255
18354,12759,13160,10340,10204,10104,11936,11979,0,0,0,255
18854,12797,13159,10339,10204,10108,11937,11976,0,0,0,255
19354,12840,13177,10342,10208,10108,11936,11978,0,0,0,255
19854,12873,13184,10350,10205,10107,11936,11980,0,0,0,255
20354,12902,13181,10352,10204,10108,11935,11981,0,0,0,255
20854,12938,13202,10351,10204,10108,11937,11977,0,0,0,255
21354,12969,13208,10354,10204,10106,11935,11978,0,0,0,255
21854,13008,13218,10358,10201,10107,11935,11977,0,0,0,255
22354,13035,13219,10359,10205,10105,11936,11977,0,0,0,255
22854,13077,13232,10364,10205,10108,11935,11979,0,0,0,255
23354,13112,13235,10364,10204,10107,11937,11977,0,0,0,255
23854,13139,13259,10364,10206,10106,11934,11978,0,0,0,255
24354,13174,13271,10371,10206,10104,11936,11980,0,0,0,255
24854,13207,13263,10373,10205,10108,11935,11978,0,0,0,255
25354,13238,13279,10374,10206,10108,11937,11979,0,0,0,255
25854,13273,13296,10379,10207,10108,11935,11978,0,0,0,255
26354,13299,13293,10379,10205,10106,11936,11977,0,0,0,255
26854,13324,13303,10381,10205,10111,11932,11979,0,0,0,255
27354,13326,13304,10391,10207,10108,11937,11976,0,0,0,255
27854,13331,13327,10391,10204,10105,11935,11975,0,0,0,255
28354,13346,13336,10391,10205,10108,11933,11978,0,0,0,255
28854,13336,13356,10394,10206,10109,11936,11974,0,0,0,255
29354,13340,13359,10395,10204,10107,11933,11978,0,0,0,255
29854,13335,13366,10398,10205,10109,11933,11978,0,0,0,255
30354,13341,13356,10402,10207,10110,11934,11977,0,0,0,255
30854,13338,13384,10404,10208,10107,11934,11977,0,0,0,255
31354,13336,13395,10407,10207,10111,11935,11979,0,0,0,255
31854,13338,13400,10415,10205,10107,11935,11978,0,0,0,255
32354,13333,13397,10416,10205,10109,11933,11976,0,0,0,255
32854,13336,13430,10418,10207,10108,11935,11979,0,0,0,255
33354,13334,13421,10424,10206,10110,11933,11977,0,0,0,255
33854,13340,13447,10422,10210,10110,11933,11977,170,0,0,255
34354,13339,13454,10425,10208,10112,11932,11977,170,0,0,255
34854,13337,13444,10433,10207,10112,11935,11978,170,0,0,255
35354,13318,13435,10433,10212,10109,11935,11979,170,0,0,255
35854,13282,13393,10436,10210,10109,11933,11977,170,0,0,255
36354,13231,13301,10513,10212,10111,11934,11976,170,0,0,255
36854,13166,13228,10561,10208,10109,11934,11977,170,0,0,255
37354,13090,13318,10589,10208,10110,11935,11977,170,0,0,255
37854,12966,13563,10602,10210,10111,11934,11976,170,0,0,255
38354,12854,13648,10649,10209,10111,11933,11977,170,0,0,255
38854,12722,13653,10720,10210,10112,11934,11976,170,0,0,255
39354,12578,13943,10759,10206,10110,11934,11975,170,0,0,255
39854,12423,14168,10777,10210,10114,11935,11975,170,0,0,255
40354,12266,14393,10811,10212,10112,11934,11976,170,0,0,255
40854,12118,14572,10863,10209,10112,11933,11976,170,0,0,255
41354,11948,14835,10892,10214,10112,11933,11975,170,0,0,255
41854,11804,14992,10929,10210,10113,11934,11976,170,0,0,255
42354,11682,15091,10969,10209,10113,11933,11974,170,0,0,255
42854,11570,15264,10996,10213,10117,11934,11976,170,0,0,255
43354,11480,15377,11027,10214,10117,11935,11974,170,0,0,255
43854,11403,15484,11048,10209,10115,11934,11977,170,0,0,255
44354,11340,15587,11072,10216,10115,11933,11974,170,0,0,255
44854,11283,15635,11097,10215,10117,11932,11975,170,0,0,255
45354,11252,15693,11111,10217,10115,11935,11974,170,0,0,255
45854,11233,15788,11123,10215,10114,11932,11976,170,0,0,255
46354,11223,15810,11139,10215,10118,11933,11976,170,0,0,255
46854,11205,15879,11157,10214,10116,11931,11975,170,0,0,255
47354,11211,15905,11161,10217,10117,11933,11976,170,0,0,255
47854,11199,15932,11171,10219,10121,11933,11975,170,0,0,255
48354,11215,15995,11182,10219,10120,11933,11974,170,0,0,255
48854,11212,16004,11193,10215,10119,11932,11975,170,0,0,255
49354,11229,16039,11203,10222,10122,11935,11975,170,0,0,255
49854,11229,16065,11212,10219,10122,11933,11974,170,0,0,255
50354,11242,16092,11221,10219,10119,11932,11975,170,0,0,255
50854,11246,16130,11231,10218,10120,11932,11976,170,0,0,255
51354,11255,16169,11242,10221,10120,11931,11974,170,0,0,255
51854,11269,16189,11249,10215,10120,11934,11978,170,0,0,255
52354,11279,16222,11256,10218,10120,11933,11974,170,0,0,255
52854,11286,16239,11264,10218,10126,11933,11974,170,0,0,255
53354,11297,16291,11279,10221,10121,11933,11973,170,0,0,255
53854,11303,16322,11288,10225,10123,11932,11973,170,0,0,255
54354,11313,16338,11296,10221,10122,11932,11975,170,0,0,255
54854,11323,16370,11309,10224,10123,11934,11974,170,0,0,255
55354,11342,16390,11319,10222,10123,11932,11975,170,0,0,255
55854,11340,16422,11321,10223,10126,11933,11973,170,0,0,255
56354,11339,16460,11332,10223,10125,11932,11974,170,0,0,255
56854,11352,16487,11340,10223,10123,11932,11972,170,0,0,255
57354,11361,16518,11350,10227,10130,11933,11975,170,0,0,255
57854,11387,16531,11361,10226,10126,11932,11976,170,0,0,255
58354,11379,16586,11369,10229,10126,11932,11976,170,0,0,255
58854,11403,16618,11378,10226,10129,11931,11975,170,0,0,255
59354,11411,16655,11385,10230,10127,11932,11974,170,0,0,255
59854,11413,16661,11394,10228,10127,11932,11973,170,0,0,255
60354,11417,16704,11403,10230,10127,11934,11973,170,0,0,255
60854,11420,16742,11412,10229,10129,11932,11974,170,0,0,255
61354,11435,16773,11423,10232,10128,11931,11972,170,0,0,255
61854,11440,16809,11429,10226,10129,11931,11975,170,0,0,255
62354,11451,16828,11438,10230,10129,11932,11973,170,0,0,255
62854,11461,16862,11452,10233,10131,11932,11977,170,0,0,255
63354,11473,16876,11456,10231,10131,11933,11974,170,0,0,255
63854,11483,16897,11467,10232,10128,11934,11975,170,0,0,255
64354,11484,16936,11481,10233,10131,11933,11975,170,0,0,255
64854,11502,16969,11489,10231,10132,11932,11976,170,0,0,255
65354,11507,16976,11492,10234,10133,11932,11972,170,0,0,255
65854,11512,17045,11504,10233,10136,11931,11973,170,0,0,255
66354,11520,17045,11508,10232,10137,11934,11972,170,0,0,255
66854,11558,17084,11517,10236,10133,11932,11973,170,0,0,255
67354,11564,17136,11535,10235,10136,11930,11970,170,0,0,255
67854,11581,17149,11544,10234,10138,11933,11973,170,0,0,255
68354,11574,17204,11553,10241,10136,11932,11974,170,0,0,255
68854,11574,17257,11567,10240,10138,11932,11974,170,0,0,255
69354,11580,17273,11574,10238,10138,11931,11975,170,0,0,255
69854,11584,17293,11581,10240,10136,11932,11973,170,0,0,255
70354,11600,17321,11592,10238,10142,11933,11971,170,0,0,255
70854,11609,17392,11601,10238,10138,11932,11976,170,0,0,255
71354,11626,17418,11612,10240,10140,11932,11975,170,0,0,255
71854,11626,17393,11620,10239,10140,11932,11974,170,0,0,255
72354,11636,17464,11632,10239,10140,11932,11974,170,0,0,255
72854,11638,17468,11636,10242,10141,11932,11974,170,0,0,255
73354,11652,17499,11648,10242,10142,11932,11972,170,0,0,255
73854,11661,17541,11656,10242,10143,11931,11974,170,0,0,255
74354,11665,17583,11665,10243,10139,11930,11974,170,0,0,255
74854,11669,17575,11675,10240,10144,11932,11976,170,0,0,255
75354,11682,17625,11686,10242,10143,11933,11973,170,0,0,255
75854,11691,17658,11690,10243,10142,11932,11974,170,0,0,255
76354,11708,17693,11700,10244,10143,11932,11976,170,0,0,255
76854,11721,17724,11712,10242,10147,11931,11974,170,0,0,255
77354,11722,17765,11716,10247,10145,11933,11977,170,0,0,255
77854,11728,17755,11725,10243,10145,11931,11973,170,0,0,255
